time,day-ahead,intra-day
14/01/2023 00:00,175.38,79.77
14/01/2023 00:30,175.38,107.62
14/01/2023 01:00,138.94,52.71
14/01/2023 01:30,138.94,102.53
14/01/2023 02:00,139.4,145.89
14/01/2023 02:30,139.4,133.38
14/01/2023 03:00,87.39,147.22
14/01/2023 03:30,87.39,140.69
14/01/2023 04:00,93.37,105.31
14/01/2023 04:30,93.37,117.8
14/01/2023 05:00,68.29,101.59
14/01/2023 05:30,68.29,85.68
14/01/2023 06:00,55.43,57.78
14/01/2023 06:30,55.43,30.97
14/01/2023 07:00,44.81,31.36
14/01/2023 07:30,44.81,24.71
14/01/2023 08:00,36.57,45.77
14/01/2023 08:30,36.57,72.19
14/01/2023 09:00,29.38,61.65
14/01/2023 09:30,29.38,124.33
14/01/2023 10:00,38.99,148.99
14/01/2023 10:30,38.99,156.11
14/01/2023 11:00,48.98,153.52
14/01/2023 11:30,48.98,148.63
14/01/2023 12:00,60,141.94
14/01/2023 12:30,60,132.36
14/01/2023 13:00,103.47,129.47
14/01/2023 13:30,103.47,108.22
14/01/2023 14:00,165,92.57
14/01/2023 14:30,165,29.1
14/01/2023 15:00,158.27,37.98
14/01/2023 15:30,158.27,23.03
14/01/2023 16:00,137.99,81.13
14/01/2023 16:30,137.99,44.49
14/01/2023 17:00,134.93,16.46
14/01/2023 17:30,134.93,23.94
14/01/2023 18:00,115.3,11.41
14/01/2023 18:30,115.3,0.25
14/01/2023 19:00,96.3,1.24
14/01/2023 19:30,96.3,4.84
14/01/2023 20:00,106.48,35.1
14/01/2023 20:30,106.48,24.17
14/01/2023 21:00,155.1,21.75
14/01/2023 21:30,155.1,14.27
14/01/2023 22:00,199.68,17.79
14/01/2023 22:30,199.68,23.21
14/01/2023 23:00,167.6,9.31
14/01/2023 23:30,167.6,24.25
15/01/2023 00:00,129.94,4.12
15/01/2023 00:30,129.94,12.81
15/01/2023 01:00,47.06,18.95
15/01/2023 01:30,47.06,65.55
15/01/2023 02:00,39.4,102.43
15/01/2023 02:30,39.4,139.45
15/01/2023 03:00,29.94,140.36
15/01/2023 03:30,29.94,141.46
15/01/2023 04:00,19.16,115.25
15/01/2023 04:30,19.16,124.58
15/01/2023 05:00,14.13,133.42
15/01/2023 05:30,14.13,145.09
15/01/2023 06:00,9.3,158.2
15/01/2023 06:30,9.3,139.02
15/01/2023 07:00,3.01,109.97
15/01/2023 07:30,3.01,104.7
15/01/2023 08:00,0,83.79
15/01/2023 08:30,0,102.2
15/01/2023 09:00,-0.01,129.64
15/01/2023 09:30,-0.01,175.38
15/01/2023 10:00,-0.01,229.81
15/01/2023 10:30,-0.01,236.19
15/01/2023 11:00,8.56,236.3
15/01/2023 11:30,8.56,235.62
15/01/2023 12:00,9.68,235.99
15/01/2023 12:30,9.68,230.72
15/01/2023 13:00,24.31,223.31
15/01/2023 13:30,24.31,206.93
15/01/2023 14:00,95.05,204.42
15/01/2023 14:30,95.05,202.69
15/01/2023 15:00,146.31,175.94
15/01/2023 15:30,146.31,173.99
15/01/2023 16:00,130.02,175.85
15/01/2023 16:30,130.02,174.71
15/01/2023 17:00,160.08,187.64
15/01/2023 17:30,160.08,192.75
15/01/2023 18:00,152.6,190.23
15/01/2023 18:30,152.6,170.27
15/01/2023 19:00,155.46,164.58
