,settlement_period,day_ahead_price,degraded_energy_capacity,intraday_price,import_da_vol,import_bess,export_da_vol,export_bess,soc,da_export_throughput,import_intraday_vol,import_intraday_bess,export_intraday_vol,export_intraday_bess,soc_intraday,intraday_export_throughput,energy_flow_export_da_vol,energy_flow_export_intraday_bess_vol,energy_flow_import_da_vol,energy_flow_import_intraday_bess_vol,cash_flow_export_da_vol,cash_flow_export_intraday_bess_vol,cash_flow_import_da_vol,cash_flow_import_intraday_bess_vol,cash_flow_bess_da,cash_flow_bess_intraday
2023-01-14 00:00:00,1,175.38,100.0,79.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 00:30:00,2,175.38,100.0,107.62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 01:00:00,3,138.94,100.0,52.71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 01:30:00,4,138.94,100.0,102.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 02:00:00,5,139.4,100.0,145.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 02:30:00,6,139.4,100.0,133.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 03:00:00,7,87.39,100.0,147.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 03:30:00,8,87.39,100.0,140.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 04:00:00,9,93.37,100.0,105.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2023-01-14 04:30:00,10,93.37,100.0,117.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
